Square Customer ID,Salesforce Contact ID,First Visit,Last Visit,Transaction Count, Total Spend ,Email Subscription Status
BTG1GB6T793F12GC476A822NJ8,0033t00004BQWMR,4/14/2022,8/16/2022,3,$147.60 ,unknown
2SN3E288DD1M53BB3QHVV9W1NC,0033t00004BQWI5,6/15/2022,6/29/2022,2,$695.00 ,unknown
3A6CEX60RR9DPB8N0Y185B2BZC,0033t00004BQVrp,2/7/2023,2/7/2023,1,$20.00 ,unknown
B2G9DEYSJH7T1BK48TNK73SZZR,0033t00004BQVkn,1/14/2022,1/22/2022,2,$324.75 ,unknown
B2Y9EDZJR900Q4KRMXZSYAF2AW,0033t00004B7RXU,9/16/2021,1/20/2022,2,$76.00 ,unknown
JDGDKW4EA54T3ESAZDH4M98YYR,0033t00004B7RXR,1/25/2022,4/26/2022,5,$228.00 ,unknown
D9YNH1JA4M9GHA0E0SYQPXZ9MM,0033t00004B7RXQ,2/1/2023,2/1/2023,1,$40.00 ,unknown
D509MXHWBD7YQ8VZXW92QB0AC0,0033t00004B7RXO,2/5/2022,2/5/2022,1,$20.00 ,unknown
815S469FCX1QNEHTVQS2V87S7M,0033t00004B7RXG,2/22/2022,2/22/2022,2,$200.00 ,unknown
7K7XJJHNV12M11Y4JCVQ1NQ704,0033t00004B7RXF,2/26/2022,2/26/2022,1,$50.00 ,unknown
XK4C6TFVPD3FBF635Z883J6VJ0,0033t00004B7RX2,3/19/2022,3/19/2022,1,,unknown
G3MPY84Z9X1518QACF6XNCQTCW,0033t00004B7RX0,3/12/2022,3/12/2022,1,$75.00 ,unknown
HP7H4T5D651EBC9E85SG18PCNC,0033t00004B7RWV,4/7/2022,4/7/2022,1,,unknown
R59GQ6BJMS4PXBXE2GKT0B1V4R,0033t00004B7RWu,3/13/2021,3/13/2021,1,,unknown
17Z6R95BZN4M38ATKRP7CV6920,0033t00004B7RWp,3/24/2022,3/24/2022,1,$515.00 ,unknown
M9GY3F5NYH00S7BWXYX94Z7H44,0033t00004B7RWi,9/14/2019,5/18/2021,2,$290.00 ,unknown
HPQVMS04P56BD6B59D8VKVW12C,0033t00004B7RWD,6/1/2021,6/1/2021,1,$20.00 ,unknown
M3PZ85RD3BZVKDA9GRKYAFQZN8,0033t00004B7RVu,2/7/2023,2/7/2023,1,,unknown
PTVJ3DA6PH7J7B0WZ2SRBMFK6W,0033t00004B7RVT,6/11/2022,1/17/2023,2,$40.00 ,unknown
HWNP3DN0ZX0DZ18V7HB2Q8GAX4,0033t00004B7RVP,6/14/2022,8/11/2022,2,$450.00 ,unknown
3FA9HP8VJS6RX40502DRFBJ17C,0033t00004B7RVc,4/29/2021,2/8/2023,2,$45.00 ,unknown
59H4QHY9MWW7YTXQCA9CMXR6B0,0033t00004B7RUF,3/9/2023,3/9/2023,1,$450.00 ,unknown
3B256HPFPN3579SQTQGV2H1M10,0033t00004B7RUE,7/23/2022,1/17/2023,2,$140.00 ,unknown
8RCSTCRDFN4JV1498A8VZMB3PW,0033t00004B7RUa,7/16/2021,7/16/2022,5,$169.75 ,unknown
K76CMYSGG4GXPH3F615GKTKDRR,0033t00004B7RTq,1/17/2023,1/17/2023,1,$25.00 ,unknown
W8H1FJVXA1FYMP20JPBTHHQ760,0033t00004B7RTQ,2/8/2023,2/8/2023,1,$20.00 ,unknown
A2QP6M25456B9BER89Y4KWGYRW,0033t00004B7RTg,2/6/2021,2/7/2023,2,$60.00 ,unknown
AM6H1AW2V91PHBMT3ZDY5THWQ0,0033t00004B7RTG,5/27/2021,5/27/2021,1,,unknown
7EHAR77DZ17JFDPZEV1EE4V6A0,0033t00004B7RTf,5/28/2021,3/7/2023,4,,unknown
8ADE4D35F90AK77HA46CWWYJH8,0033t00004B7RSZ,4/13/2021,4/13/2021,1,,unknown
FXV4Y4PS39167FDA0WAGR89T2C,0033t00004B7RSv,7/29/2022,7/29/2022,1,$300.00 ,unknown
S1JHREVK293V9C2GBJZ0RV3GNW,0033t00004B7RSl,10/23/2021,10/23/2021,1,$200.00 ,unknown
X77KFJ8YZH6FD7EK4DF9G0RBK8,0033t00004B7RSK,5/4/2022,5/4/2022,1,,unknown
05RNPDN4P72BM8ZY69YCR4BXNG,0033t00004B7RSJ,12/7/2022,12/7/2022,1,$150.00 ,unknown
8D0DJVPDAS24K0F56GNKFEK9VR,0033t00004B7RSI,12/7/2022,12/7/2022,1,$33.00 ,unknown
9ZRCG64DWD7A136EK0QXT1Y7FM,0033t00004B7RSf,5/1/2021,5/1/2021,1,$40.00 ,unknown
N3EX7MKCVD2RESNJNSAGKPGD0G,0033t00004B7RS6,2/10/2017,3/4/2023,3,$345.00 ,unknown
YH6KFE7CYGP5GAMKQNB9YY2K6G,0033t00004B7RS0,1/5/2023,1/5/2023,1,,unknown
M5SH9C9DPN3QKEP85PRBZFZ07W,0033t00004B7RRr,10/26/2021,3/31/2022,2,$52.00 ,unknown
7YCX083PR17YH42BS7RS42QNXC,0033t00004B7RRo,1/21/2023,1/21/2023,1,$350.00 ,unknown
MQYHDHFFDH33D4TTXRPDFCZ88R,0033t00004B7RRK,3/3/2022,5/21/2022,2,,unknown
W16WZMH06H2MZB4T4WPCVHAP1R,0033t00004B7RRd,4/24/2019,8/7/2020,3,$363.00 ,unknown
RAF63DP6NS7BZ22Q6PV0JGEXV4,0033t00004B7RRc,2/7/2023,2/7/2023,1,$100.00 ,unknown
EZWWGNE9Z97JS5DGXHP5HWHBQR,0033t00004B7RQU,4/12/2022,4/12/2022,1,,unknown
CP5S4JZV64R03RX2M5AEJPTFPG,0033t00004B7RPS,12/30/2022,12/30/2022,1,,unknown
KDRN742F5N5V33N62FXK0G2TF8,0033t00004B7RO6,8/6/2021,8/6/2021,1,,unknown
3RWXW4G0A17TZ6B3TMRB109R9C,0033t00004B7RNz,5/6/2021,9/9/2021,2,,unknown
FKF27AWYSX64X434FHS6Q0YVJ4,0033t00004B7RNy,9/9/2021,9/9/2021,1,,unknown
FNS1WGBATN5NQ6YG6PMP07JQH8,0033t00004B7RNr,9/21/2021,9/21/2021,1,,unknown
HSGMWEQNVS0EH8ADS0KJZ5NBP8,0033t00004B7RNo,10/26/2021,10/26/2021,1,,unknown
92HS36R0CX3R74Q3QFQMWWF6Z4,0033t00004B7RNn,10/22/2021,10/22/2021,1,,unknown
GHN0CW4BZH5HHF23NNGDF0GZNW,0033t00004B7RNm,12/23/2021,12/23/2021,1,,unknown
1G2RP0XT4H5052RE2WSM96NY7C,0033t00004B7RNJ,12/2/2021,12/2/2021,1,,unknown
VY9NR27V4S6FH1FAT5MBXENA0C,0033t00004B7RNH,9/14/2021,9/14/2021,1,,unknown
MPB1RDG09N4QV27Q05C721V3Z8,0033t00004B7RNg,11/13/2021,11/13/2021,1,,unknown
SRKT83YW5H3B929P19RP1186CM,0033t00004B7RNc,11/11/2021,11/11/2021,1,,unknown
ZMYFNDMQA93NV36QQHY0J0Z5KW,0033t00004B7RNA,12/21/2021,12/21/2021,1,,unknown
A80H21THMH4HQ3NA17TKREZTDG,0033t00004B7RN9,12/23/2021,12/23/2021,1,,unknown
